case,gt_presence,pred_presence,pred_components,gt_components,pred_overlap_components,pred_fp_components,gt_detected_components,pred_exact_components,pred_territory_components,pred_side_denominator,pred_side_correct,gt_exact_detected,gt_territory_detected,gt_side_denominator,gt_side_correct,pred_voxels,gt_voxels,tp_binary_voxels,tp_location_voxels,tp_oracle_location_voxels,binary_dice
topaneu_center4_ct_108,1,1,2,2,2,0,2,1,2,2,2,1,2,2,2,211,264,180,20,180,0.7578947368421053
topaneu_center4_ct_119,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,216,259,200,200,200,0.8421052631578947
topaneu_center5_mr_007,1,1,3,2,1,2,1,1,1,0,0,1,1,0,0,10069,9715,8666,8666,8666,0.8760614638091387
topaneu_center5_mr_011,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,13772,16229,12667,0,12667,0.8444385187160428
topaneu_center5_mr_022,1,1,2,3,1,1,3,0,1,0,0,0,3,0,0,10389,35018,6620,0,6620,0.29158499790781156
topaneu_center5_mr_030,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,803,840,736,0,736,0.8959220937309799
topaneu_center5_mr_038,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,6076,6155,4571,0,4571,0.7474450167606901
topaneu_center5_mr_079,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,9330,8350,7102,0,7102,0.8033936651583711
topaneu_center5_mr_451,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,97,75,72,0,72,0.8372093023255814
topaneu_center5_mr_459,1,1,2,1,1,1,1,0,0,1,0,0,0,1,0,225,260,169,0,169,0.6969072164948453
topaneu_center5_mr_472,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,424,18896,20,0,20,0.002070393374741201
topaneu_center5_mr_478,1,1,4,1,2,2,1,0,0,0,0,0,0,0,0,5633,77223,5555,0,5555,0.13408805638698465
topaneu_center1_mr_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_033,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,16,139,0,0,0,0.0
topaneu_center1_mr_076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_193,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,242,394,242,0,242,0.7610062893081762
topaneu_center1_mr_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_262,1,1,1,2,1,0,1,0,0,1,0,0,0,1,0,22,104,22,0,22,0.3492063492063492
topaneu_center1_mr_287,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.0
topaneu_center1_mr_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_428,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,147,133,109,109,109,0.7785714285714286
topaneu_center1_mr_436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_560,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,162,325,162,162,162,0.6652977412731006
topaneu_center1_mr_586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_741,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,69,479,69,69,69,0.2518248175182482
topaneu_center1_mr_770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_788,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
topaneu_center1_mr_797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_816,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0.0
topaneu_center1_mr_819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_921,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0
topaneu_center2_ct_105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0.0
topaneu_center2_ct_112,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,194,237,190,190,190,0.8816705336426914
topaneu_center2_ct_126,1,1,2,2,2,0,2,1,1,2,1,1,1,2,1,11093,12065,10882,103,10882,0.9398048190690043
topaneu_center2_ct_170,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0.0
topaneu_center2_ct_171,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,23,48,19,0,19,0.5352112676056338
topaneu_center2_ct_174,1,1,1,2,1,0,1,0,1,1,0,0,1,1,0,71,64,49,0,49,0.725925925925926
topaneu_center2_mr_002,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,89,55,50,50,50,0.6944444444444444
topaneu_center2_mr_007,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1251,45,0,0,0,0.0
topaneu_center2_mr_018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0
topaneu_center2_mr_019,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,58,37,30,30,30,0.631578947368421
topaneu_center2_mr_035,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,682,84,72,0,72,0.18798955613577023
topaneu_center2_mr_051,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,238,204,172,172,172,0.7782805429864253
topaneu_center2_mr_054,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0.0
topaneu_center2_mr_055,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,71,63,49,0,49,0.7313432835820896
topaneu_center2_mr_058,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,109,65,45,0,45,0.5172413793103449
topaneu_center2_mr_069,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,97,44,44,0,44,0.624113475177305
topaneu_center2_mr_077,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,17,57,17,0,17,0.4594594594594595
topaneu_center2_mr_078,1,1,3,2,2,1,2,0,0,2,1,0,0,2,1,155,301,133,0,133,0.5833333333333334
topaneu_center2_mr_080,1,1,4,4,3,1,3,1,2,2,1,1,2,2,1,2158,2040,1909,43,1909,0.9094807050976655
topaneu_center2_mr_083,1,1,3,3,3,0,3,1,3,3,2,1,3,3,2,143,344,95,54,95,0.39014373716632444
topaneu_center4_ct_034_1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0.0
topaneu_center4_ct_034_2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,243,99,81,0,81,0.47368421052631576
topaneu_center4_ct_041,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,2330,2063,1952,0,1952,0.8886865467789665
topaneu_center4_ct_047,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0.0
topaneu_center4_ct_062_1,1,1,2,2,2,0,2,1,2,2,1,1,2,2,1,93,234,90,67,90,0.5504587155963303
topaneu_center4_ct_062_2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,105,147,101,0,101,0.8015873015873016
topaneu_center4_ct_063,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,5215,5918,5172,0,5172,0.9291296146591216
topaneu_center4_ct_064,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,112,62,0,0,0,0.0
topaneu_center4_ct_065,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14,60,14,14,14,0.3783783783783784
topaneu_center4_ct_093,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,447,488,411,411,411,0.879144385026738
topaneu_center4_ct_104,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0.0
topaneu_center4_ct_106,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,91,121,43,0,43,0.4056603773584906
topaneu_center4_ct_115,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,857,1123,808,0,808,0.8161616161616162
topaneu_center4_ct_129,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,268,305,42,0,42,0.14659685863874344
topaneu_center4_ct_140,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,16,4090,0,0,0,0.0
topaneu_center4_ct_200,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,85,666,81,0,81,0.21571238348868177
topaneu_center5_mr_009,1,1,2,1,1,1,1,0,1,0,0,0,1,0,0,3272,11010,1561,0,1561,0.21859683517714606
topaneu_center5_mr_015,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,159,723,155,155,155,0.35147392290249435
topaneu_center5_mr_021,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,822,1137,802,0,802,0.8187850944359367
topaneu_center5_mr_028,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0,220,296,137,0,137,0.5310077519379846
topaneu_center5_mr_032,1,1,3,1,1,2,1,0,1,1,0,0,1,1,0,1721,1186,1115,0,1115,0.7671138630890952
topaneu_center5_mr_052,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2325,2648,1684,1684,1684,0.6772571888196259
topaneu_center5_mr_061,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,376,808,365,0,365,0.6165540540540541
topaneu_center5_mr_457,1,1,1,2,1,0,1,0,0,1,1,0,0,1,1,834,939,796,0,796,0.8979131415679639
topaneu_center5_mr_462,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,13,89,0,0,0,0.0
topaneu_center5_mr_464,1,1,2,3,2,0,2,0,2,0,0,0,2,0,0,136,268,122,0,122,0.6039603960396039
topaneu_center5_mr_465,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,7,32,7,0,7,0.358974358974359
topaneu_center5_mr_469,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,201,234,169,0,169,0.7770114942528735
topaneu_center5_mr_474,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,33,60,29,0,29,0.6236559139784946
topaneu_center5_mr_484,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,74,59,43,0,43,0.6466165413533834
topaneu_center5_mr_486,1,1,4,2,1,3,1,0,1,1,0,0,1,1,0,55,83,21,0,21,0.30434782608695654
topaneu_center5_mr_487,1,1,2,2,2,0,2,1,2,2,2,1,2,2,2,65,88,59,12,59,0.7712418300653595
topaneu_center5_mr_490,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0.0
topaneu_center5_mr_491,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,28,41,24,24,24,0.6956521739130435
topaneu_center1_mr_001,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.0
topaneu_center1_mr_017,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,220,122,102,102,102,0.5964912280701754
topaneu_center1_mr_028,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0,47,53,37,0,37,0.74
topaneu_center1_mr_029,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0
topaneu_center1_mr_053,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0.0
topaneu_center1_mr_092,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0.0
topaneu_center1_mr_144,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.0
topaneu_center1_mr_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_178,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0.0
topaneu_center1_mr_211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_302,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,859,2930,859,0,859,0.45341778833465296
topaneu_center1_mr_325,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0,5312,5959,4849,0,4849,0.8604382929642446
topaneu_center1_mr_327,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.0
topaneu_center1_mr_342,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,38,78,32,32,32,0.5517241379310345
topaneu_center1_mr_349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0.0
topaneu_center1_mr_374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_494,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0.0
topaneu_center1_mr_538,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,30,42,27,0,27,0.75
topaneu_center1_mr_577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_581,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14,36,11,11,11,0.44
topaneu_center1_mr_605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_626,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,95,144,91,91,91,0.7615062761506276
topaneu_center1_mr_638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_660,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0.0
topaneu_center1_mr_670,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,48,179,31,0,31,0.27312775330396477
topaneu_center1_mr_681,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,245,504,230,0,230,0.6141522029372497
topaneu_center1_mr_682,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,302,10,0,0,0,0.0
topaneu_center1_mr_720,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,85,210,82,0,82,0.5559322033898305
topaneu_center1_mr_731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_750,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,181,158,137,137,137,0.8082595870206489
topaneu_center1_mr_760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_774,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.0
topaneu_center1_mr_789,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,23,12,0,0,0,0.0
topaneu_center1_mr_840,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0.0
topaneu_center1_mr_842,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,269,282,225,0,225,0.8166969147005445
topaneu_center1_mr_877,1,1,2,2,2,0,2,0,1,2,0,0,1,2,0,119,296,116,0,116,0.5590361445783133
topaneu_center1_mr_895,1,1,3,4,3,0,3,0,2,2,1,0,2,2,1,1105,1202,928,0,928,0.8045080190723883
topaneu_center1_mr_902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center2_ct_108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0.0
topaneu_center2_ct_113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0.0
topaneu_center2_ct_128,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.0
topaneu_center2_ct_141,1,1,2,2,2,0,2,0,1,0,0,0,1,0,0,551,494,456,0,456,0.8727272727272727
topaneu_center2_ct_142,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0.0
topaneu_center2_ct_150,1,1,2,4,2,0,2,1,1,1,1,1,1,1,1,813,1226,813,57,813,0.7974497302599314
topaneu_center2_ct_156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0.0
topaneu_center2_ct_167,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,71,104,61,0,61,0.6971428571428572
topaneu_center2_ct_184,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,226,163,154,0,154,0.7917737789203085
topaneu_center2_ct_191,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,346,472,299,0,299,0.7310513447432763
topaneu_center2_mr_016,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,70,72,62,0,62,0.8732394366197183
topaneu_center2_mr_032,1,1,2,2,2,0,2,0,0,2,2,0,0,2,2,295,308,265,0,265,0.87893864013267
topaneu_center2_mr_042,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,126,109,100,0,100,0.851063829787234
topaneu_center2_mr_049,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,133,102,97,97,97,0.825531914893617
topaneu_center2_mr_056,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34,21,20,20,20,0.7272727272727273
topaneu_center2_mr_057,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,97,120,80,0,80,0.7373271889400922
topaneu_center2_mr_086,1,1,1,2,1,0,1,0,0,1,1,0,0,1,1,26,48,16,0,16,0.43243243243243246
